zuordnung;Name;Vorname;Titel;Land;Zeit am Institut ;Abteilung;Auswahl 1950–1990;"""Ostblock"" inkl. China & Nordkorea";Förderer;Förderer extern;Herkunftsinstitut (bei letztem Aufenthalt am IEG);Forschungsthema;Beschreibung;Publikation;Betreuer/in oder nur Gutachter/in;Institution Betreuer/in;Ort Institution Betreuer/in;Staat Institution Betreuer/in;Staatsangehörigkeit Betreuer/in;Spalte2
Fellow;Apunen;Osmo;;Finnland;1967;2;1;;Institut;;Helsingin yliopisto, Helsinki, Finnland;Finnland in der deutschen Politik 1914/15;;"{""weiteres52d3facf19f82"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=185302602 | Suomi keisarillisen Saksan politiikassa 1914\u20131915, Helsinki 1968 | _new>>\r\n""}}";B;Helsingin yliopisto;Helsinki;Finnland;;
Fellow;Arazi;Doron;;Israel;1988, 1989;2;1;;Institut;;London School of Economics, UK;Nachrichtentechnologie und Kriegführung bei der deutschen Wehrmacht im Zweiten Weltkrieg;;;B;London School of Economics;London;Vereinigtes Königreich;;
Fellow;Aretin;Karl Otmar von;;Bundesrepublik Deutschland;1953, 1954, 1955, 1956, 1957, 1958;2;1;;Institut;;Ludwig-Maximilians-Universität München, Deutschland;Das Heilige Römische Reich 1776–1806;Aretin bei Ankunft schon promoviert. Kein Betreuer eindeutig erkennbar.;"{""weiteres52d3fad319b75"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=027894509 | Heiliges R\u00f6misches Reich 1776\u20131806. Reichsverfassung und Staatssouver\u00e4nit\u00e4t, 2 Bde., Wiesbaden 1967 (IEGV 38,1\/2) | _new>>\r\n""}}";kein Gutachter;;;;;
Fellow;Arndt;Johannes;;Bundesrepublik Deutschland;1986;2;1;;Extern;Gerda Henkel Stiftung;Ruhr-Universität Bochum, Deutschland;Das Niederrheinisch-Westfälische Reichsgrafenkollegium und seine Mitglieder 1653–1806;;"{""weiteres52d3fad011208"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=013397826 | Das Niederrheinisch-Westf\u00e4lische Reichsgrafenkollegium und seine Mitglieder (1653\u20131806), Mainz 1991 (Beitr\u00e4ge zur Sozial- und Verfassungsgeschichte des Alten Reichs 9) (IEGV 133) | _new>>\r\n""}}";B;Ruhr-Universität;Bochum;Bundesrepublik Deutschland;;
Fellow;Asendorf;Ulrich;;Bundesrepublik Deutschland;1977, 1978, 1979;1;1;;Institut;;Evangelische Landeskirche Hannover, Deutschland;Luther und Hegel. Untersuchungen zur Grundlegung einer neuen systematischen Theologie;IEG förderte Asendorfs Habilitation. Pöhlmann war Hauptreferent im Habilitationsverfahren;"{""weiteres52d3fad53a2c4"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=028220889 | Luther und Hegel. Untersuchungen zur Grundlegung einer neuen systematischen Theologie, Wiesbaden 1982 (IEGV 107) | _new>>\r\n""}}";B;Universität Osnabrück;Osnabrück;Bundesrepublik Deutschland;;
Fellow;Ashcraft;Darrel E.;;USA;1972, 1973, 1974;1;1;;Institut;;Stanford University, USA;Johannes Joachim Camerarius;Empfehlung nur aufgrund von Aktennotiz eingetragen, Akte im Ordner 1218;;G;Stanford University;Stanford, California;USA;;
Fellow;Babelotzky;Gerd;;Bundesrepublik Deutschland;1974, 1975;1;1;;Institut;;Institut Catholique, Paris, Frankreich;Platonismus bei Calvin;"Akte im Ordner 1218; kein Gutachter oder Betreuer vorhanden";"{""weiteres52d3fad4bd0ea"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=032409826  | Platonische Bilder und Gedankeng\u00e4nge in Calvins Lehre vom Menschen, Wiesbaden 1977 (IEGV 83) | _new>>\r\n""}}";;;;;;
Fellow;Bannach;Klaus;;Bundesrepublik Deutschland;1968, 1969;1;1;;Institut;;;"Die Lehre von der Macht Gottes bei Ockham; Die Lehre von der doppelten Macht Gottes bei Wilhelm Ockham";"Akte im Ordner 1218; kein Gutachter oder Betreuer vorhanden";"{""weiteres52d3fad423c34"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=030549515  | Die Lehre von der doppelten Macht Gottes bei Wilhelm Ockham, Wiesbaden 1975 (IEGV 75) | _new>>\r\n""}}";;;;;;
Fellow;Bärnthaler;Irmgard;;Österreich;1964, 1965;2;1;;Institut;;Friedrich-Schiller-Universität Jena, Deutschland;Geschichte und Organisation der Vaterländischen Front;;"{""weiteres52d3fad38a37a"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=074569392 | Die vaterl\u00e4ndische Front. Geschichte und Organisation, Wien u.a. 1971 | _new>>\r\n""}}";B;Universität Wien;Wien;Österreich;;
Fellow;Barth-Scalmani;Gunda;;Österreich;1989, 1990;2;1;;Institut;;Paris-Lodron-Universität Salzburg, Österreich;Die Rolle des Handelsbürgertums an der Wende vom 18. zum 19. Jahrhundert in Salzburg;;"{""weiteres52d3fad71084c"":{""titel"":""Publikationen"",""text"":""- <<http:\/\/data.onb.ac.at\/rec\/AC00459921 | Der Handelsstand in der Stadt Salzburg am Ende des 18. Jahrhunderts. Altst\u00e4ndisches B\u00fcrgertum in Politik, Wirtschaft und Kultur, Diss. Salzburg 1992 | _new>>\r\n""}}";B;Universität Salzburg;Salzburg;Österreich;;
Fellow;Bartoš;Josef;;Tschechoslowakei;1968;2;1;1;Extern;DAAD;Univerzita Palackého v Olomouci, Tschechien;Die tschechische Bevölkerung im Sudetenland 1938–1945;;"{""weiteres52d3fad413ad3"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=133789527 | \tPostaven\u00ed cesk\u00e9ho obyvatelstva na Severn\u00ed Morave za okupace,Vlastivedn\u00fd \u00dastav 1969 | _new>>\r\n- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=060133422 | Okupovan\u00e9 pohranici a cesk\u00e9 obyvatelstvo 1938 - 1945, Praha 1978 | _new>>\r\n""}}";B;Karls-Universität;Prag;Tschechoslowakei;;
Fellow;Bartoš;Josef;;Tschechoslowakei;1977;2;1;1;Extern;DAAD;Univerzita Palackého v Olomouci, Tschechien;Die tschechische Bevölkerung im Sudetenland 1938–1945;;"{""weiteres52d3fad413ad3"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=133789527 | \tPostaven\u00ed cesk\u00e9ho obyvatelstva na Severn\u00ed Morave za okupace,Vlastivedn\u00fd \u00dastav 1969 | _new>>\r\n- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=060133422 | Okupovan\u00e9 pohranici a cesk\u00e9 obyvatelstvo 1938 - 1945, Praha 1978 | _new>>\r\n""}}";kein Gutachter;;;;;
Fellow;Bassin;Mark;;USA;1984;2;1;;Institut;;University of California, Berkeley, USA;Die Ursprünge und die Entwicklung der deutschen Geopolitik 1890–1945;Bassin kam für Postdoc-Projekt an das Institut;;B;"University of California; University of California";"Berkely, California; Berkely, California";"USA; USA";;
Fellow;Bauer;Jean-Louis;;Frankreich;1970;2;1;;Institut;;Université Paris-Sorbonne, Frankreich;Hugo Preuß und der Föderalismus in der Weimarer Verfassung;;"{""weiteres52d3facf40082"":{""titel"":""Publikationen"",""text"":""- <<http:\/\/www.sudoc.fr\/101858930 | Hugo Preuss et le f\u00e9d\u00e9ralisme dans la Constitution de Weimar, Univ. Diss. Paris I 1973 | _new>>\r\n""}}";B;Université de Paris, Faculté des lettres et sciences humaines, Sorbonne;Paris;Frankreich;;
Fellow;Beck;Nestor;;Brasilien;1969, 1970, 1971, 1972, 1973;1;1;;Extern;Alexander von Humboldt-Stiftung;Theologische Hochschule Concordia, Saint-Louis, Missouri, USA;Das Verhältnis von Glauben und Werken in Melanchthons Apologie der C. A. und in Luthers Galater-Kommentar;Nicht sicher ob Piepkorn tatsächlich Betreuer oder nur Gutachter ist.;"{""weiteres52d3fad4345f3"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=012139777  | The doctrine of faith. A study of the Augsburg Confession and contemporary ecumenical documents, St. Louis 1987 | _new>>\r\n""}}";B;Concordia Seminary;St. Louis, Missouri;USA;;
Fellow;Beck;Nestor;;Brasilien;1984, 1985;1;1;;Extern;Alexander von Humboldt-Stiftung;Vorsitzender Unterrichtsabteilung Evangelisch-Lutherische Kirche Brasiliens (EKLB);Das Verhältnis von Glauben und Werken in Melanchthons Apologie der C. A. und in Luthers Galater-Kommentar;Nicht sicher ob Piepkorn tatsächlich Betreuer oder nur Gutachter ist.;"{""weiteres52d3fad4345f3"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=012139777  | The doctrine of faith. A study of the Augsburg Confession and contemporary ecumenical documents, St. Louis 1987 | _new>>\r\n""}}";B;Concordia Seminary;St. Louis, Missouri;USA;;
Fellow;Bellon;Bernard P.;;USA;1986, 1987;2;1;;Institut;;Columbia University, New York, USA;Die Arbeiterschaft bei Daimler Benz 1903-1945;;"{""weiteres52d3fad696eda"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=013885510 | Mercedes in Peace and War. German Automobile Workers 1903\u20131945, New York 1990 | _new>>\r\n""}}";B;Columbia University;New York, New York;USA;;
Fellow;Bender;Johan;;Dänemark;1956, 1957;2;1;;Institut;;Aarhus Universitet, Dänemark/Křbenhavns Universitet, Dänemark;Die dänische Presse über das Verhältnis zwischen Dänemark und Deutschland 1866–1872;Bender war dabei Referendarexamen abzuschließen;;B;Aarhus Universitet;Aarhus;Dänemark;;
Fellow;Benke;Judith;;Ungarn;1987;2;1;1;Institut;;Hungarian Academy of Sciences Budapest, Ungarn;Die diplomatischen Beziehungen Ungarns zu seinen Nachbarstaaten Rumänien, Kroatien und der Slowakei 1940–1944;Studium abgeschlossen, Arbeit an Budapester Institut für Geschichte, Empfohlen von Prof. Ránki;;G;"Ungarische Akademie der Wissenschaften; Ungarische Akademie der Wissenschaften";"Budapest; Budapest";"Ungarn; Ungarn";;
Fellow;Berindei;Dan;;Rumänien;1974;2;1;1;Institut;DAAD;Historisches Forschungsinstitut Nicolae Iorga, Bukarest, Rumänien;Die Beziehungen Rumäniens zu West- und Mitteleuropa im 18. und 19. Jahrhundert;Dissertation schon abgeschlossen, arbeitete als stellvertretender Direktor des Historischen Forschungsinstituts Nicolae Iorga;"{""weiteres1454b8fbff3497"":{""titel"":""Publikationen"",""text"":""<<http:\/\/opac.ub.uni-mainz.de\/DB=3\/CMD?ACT=SRCHA&IKT=1003&DB=3&SRT=YOP&SRT=YOP&TRM=berindei,+dan | Bibliothek | _new>>""}}";kein Gutachter;;;;;
Fellow;Berindei;Dan;;Rumänien;1975;2;1;1;Extern;DAAD;Historisches Forschungsinstitut Nicolae Iorga, Bukarest, Rumänien;Die Beziehungen Rumäniens zu West- und Mitteleuropa im 18. und 19. Jahrhundert;Dissertation schon abgeschlossen, arbeitete als stellvertretender Direktor des Historischen Forschungsinstituts Nicolae Iorga;"{""weiteres1454b8fbff3497"":{""titel"":""Publikationen"",""text"":""<<http:\/\/opac.ub.uni-mainz.de\/DB=3\/CMD?ACT=SRCHA&IKT=1003&DB=3&SRT=YOP&SRT=YOP&TRM=berindei,+dan | Bibliothek | _new>>""}}";kein Gutachter;;;;;
Fellow;Berindei;Dan;;Rumänien;1982;2;1;1;Extern;DAAD;Historisches Forschungsinstitut Nicolae Iorga, Bukarest, Rumänien;Die Beziehungen Rumäniens zu West- und Mitteleuropa im 18. und 19. Jahrhundert;Dissertation schon abgeschlossen, arbeitete als stellvertretender Direktor des Historischen Forschungsinstituts Nicolae Iorga;"{""weiteres1454b8fbff3497"":{""titel"":""Publikationen"",""text"":""<<http:\/\/opac.ub.uni-mainz.de\/DB=3\/CMD?ACT=SRCHA&IKT=1003&DB=3&SRT=YOP&SRT=YOP&TRM=berindei,+dan | Bibliothek | _new>>""}}";kein Gutachter;;;;;
Fellow;Berindei;Dan;;Rumänien;1987;2;1;1;Extern;DAAD;Historisches Forschungsinstitut Nicolae Iorga, Bukarest, Rumänien;Die Beziehungen Rumäniens zu West- und Mitteleuropa im 18. und 19. Jahrhundert;Dissertation schon abgeschlossen, arbeitete als stellvertretender Direktor des Historischen Forschungsinstituts Nicolae Iorga;"{""weiteres1454b8fbff3497"":{""titel"":""Publikationen"",""text"":""<<http:\/\/opac.ub.uni-mainz.de\/DB=3\/CMD?ACT=SRCHA&IKT=1003&DB=3&SRT=YOP&SRT=YOP&TRM=berindei,+dan | Bibliothek | _new>>""}}";kein Gutachter;;;;;
Fellow;Berindei;Dan;;Rumänien;1990;2;1;1;Extern;DAAD;Historisches Forschungsinstitut Nicolae Iorga, Bukarest, Rumänien;Die Beziehungen Rumäniens zu West- und Mitteleuropa im 18. und 19. Jahrhundert;Dissertation schon abgeschlossen, arbeitete als stellvertretender Direktor des Historischen Forschungsinstituts Nicolae Iorga;"{""weiteres1454b8fbff3497"":{""titel"":""Publikationen"",""text"":""<<http:\/\/opac.ub.uni-mainz.de\/DB=3\/CMD?ACT=SRCHA&IKT=1003&DB=3&SRT=YOP&SRT=YOP&TRM=berindei,+dan | Bibliothek | _new>>""}}";kein Gutachter;;;;;
Fellow;Bieberle;Josef;;Tschechoslowakei;1967;2;1;1;Institut;;Univerzita Palackého v Olomouci, Tschechien;Die deutsch-tschechischen Beziehungen nach 1918;Dissertation schon abgeschlossen, Postdoc-Prokekt am IEG;"{""weiteres52d3facf1c05b"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=185421970 | Gemeinsam gegen den Nazismus: Mittel- und Nordm\u00e4hren, Olomouc 1967 | _new>>\r\n""}}";G;"Palacky-Universität; Palacky-Universität";"Olomouc; Olomouc";"Tschechoslowakei; Tschechoslowakei";;
Fellow;Bingsohn;Wilhelm;;Bundesrepublik Deutschland;1979;2;1;;Institut;;Justus-Liebig-Universität Gießen, Deutschland;Die Verfassungs- und Sozialgeschichte der Stadt Gießen von 1650 bis ca. 1880;;"{""weiteres52d3facf8d8a5"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=048720208 | Stadt im Territorium. Studien zur Wirtschafts-, Sozial- und Verfassungsgeschichte der Stadt Gie\u00dfen 1630\u20131730, 2 Bde., Darmstadt 1996 (Quellen und Forschungen zur hessischen Geschichte 103) | _new>>\r\n""}}";B;Justus-Liebig-Universität;Gießen;Bundesrepublik Deutschland;;
Fellow;Biot;François;;Frankreich;1955, 1956;1;1;;Institut;;;Der Kirchenbegriff beim jungen Luther;"Akte im Ordner 1218; kein Gutachter oder Betreuer vorhanden";"{""weiteres1456102b0a75c911"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=17239290X | Communaut\u00e9s protestantes : la renaissance de la vie r\u00e9guli\u00e8re dans le protestantisme continental . Paris 1961 | _new>>\r\n- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=102436541 | Evangelische Ordensgemeinschaften. Mainz 1962 | _new>>""}}";;;;;;
Fellow;Bitner-Nowak;Anna;;Polen;1990;2;1;1;Institut;;Adam Mickiewicz University in Pozna?, Polen;Die wirtschaftliche und demographische Entwicklung der Städte Großpolens 1870-1914;;"{""weiteres14560a340412cbf5"":{""titel"":""Publikationen"",""text"":""- Motywy i formy spo\u0142ecznej aktywno\u015bci wsp\u00f3lnot miejskich Wielkopolski w XIX i na pocz\u0105tku XX w., in: Wsp\u00f3lnoty lokalne i \u015brodowiskowe w miastach i miasteczkach ziem polskich pod zaborami i po odzyskaniu niepodleg\u0142o\u015bci, hg. von Maria Bogucka u.a., Toru\u0144 1998 (Studia nad dziejami miast i mieszcza\u0144stwa w \u015bredniowieczu 3), 24-37""}}";B;Uniwersytet im. Adama Mickiewicza;Pozna?;Polen;;
Fellow;Bitner-Nowak;Anna;;Polen;1984;2;1;1;Institut;;Adam Mickiewicz University in Pozna?, Polen;Die wirtschaftliche und demographische Entwicklung der Städte Großpolens 1870-1914;;"{""weiteres14560a340412cbf5"":{""titel"":""Publikationen"",""text"":""- Motywy i formy spo\u0142ecznej aktywno\u015bci wsp\u00f3lnot miejskich Wielkopolski w XIX i na pocz\u0105tku XX w., in: Wsp\u00f3lnoty lokalne i \u015brodowiskowe w miastach i miasteczkach ziem polskich pod zaborami i po odzyskaniu niepodleg\u0142o\u015bci, hg. von Maria Bogucka u.a., Toru\u0144 1998 (Studia nad dziejami miast i mieszcza\u0144stwa w \u015bredniowieczu 3), 24-37""}}";B;Uniwersytet im. Adama Mickiewicza;Pozna?;Polen;;
Fellow;Blachetta-Madajczyk;Petra;;Bundesrepublik Deutschland;1987;2;1;;Extern;Immanuel Kant Stipendium des Bundesministers des Innern;Hochschule Darmstadt, Deutschland;Die Geschichte der Deutschen Sozialistischen Arbeitspartei in Polen in der Zwischenkriegszeit;nur handschriftlicher Nachname des Doktorvaters vorhanden;"{""weiteres52d3fad01afd3"":{""titel"":""Publikationen"",""text"":""- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=052871886 | Klassenkampf oder Nation? Deutsche Sozialdemokratie in Polen 1918\u20131939, D\u00fcsseldorf 1997 (Schriften des Bundesarchivs 49). | _new>>\r\n""}}";B;Institut für Europäische Geschichte;Mainz;Bundesrepublik Deutschland;;
Fellow;Blackbourn;David Gordon;;Vereinigtes Königreich;1974, 1975;2;1;;Institut;;University of Cambridge, Jesus College, UK;"Die Zentrumspartei in Württemberg 1895–1914; Volksfrömmigkeit und Kulturkampf in Deutschland im 19. Jahrhundert";Dissertation schon abgeschlossen;"{""weiteres52d3fad4ae589"":{""titel"":""Publikationen"",""text"":""- <<http:\/\/ulmss-newton.lib.cam.ac.uk\/vwebv\/holdingsInfo?bibId=6205 | The Centre Party in Wilhelmine Germany: the example of Wu\u0308rttemberg, Ph.D. Thesis Cambridge 1976 | _new>>\r\n- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=030370787 | Class, Religion, and Local Politics in Wilhelmine Germany. The Centre Party in W\u00fcrttemberg before 1914, Wiesbaden 1980 (IEGB 9) | _new>>\r\n- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=028078225 | Marpingen. Apparitions of the Virgin Mary in Bismarckian Germany, Oxford 1993 | _new>>\r\n""}}";G;University of Cambridge;Cambridge;Vereinigtes Königreich;;
Fellow;Blackbourn;David Gordon;;Vereinigtes Königreich;1984;2;1;;Extern;Alexander von Humboldt-Stiftung;University of London, Birbeck College, UK;"Die Zentrumspartei in Württemberg 1895–1914; Volksfrömmigkeit und Kulturkampf in Deutschland im 19. Jahrhundert";Dissertation schon abgeschlossen;"{""weiteres52d3fad4ae589"":{""titel"":""Publikationen"",""text"":""- <<http:\/\/ulmss-newton.lib.cam.ac.uk\/vwebv\/holdingsInfo?bibId=6205 | The Centre Party in Wilhelmine Germany: the example of Wu\u0308rttemberg, Ph.D. Thesis Cambridge 1976 | _new>>\r\n- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=030370787 | Class, Religion, and Local Politics in Wilhelmine Germany. The Centre Party in W\u00fcrttemberg before 1914, Wiesbaden 1980 (IEGB 9) | _new>>\r\n- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=028078225 | Marpingen. Apparitions of the Virgin Mary in Bismarckian Germany, Oxford 1993 | _new>>\r\n""}}";kein Gutachter;;;;;
Fellow;Blackbourn;David Gordon;;Vereinigtes Königreich;1985;2;1;;Extern;Alexander von Humboldt-Stiftung;University of London, Birbeck College, UK;"Die Zentrumspartei in Württemberg 1895–1914; Volksfrömmigkeit und Kulturkampf in Deutschland im 19. Jahrhundert";Dissertation schon abgeschlossen;"{""weiteres52d3fad4ae589"":{""titel"":""Publikationen"",""text"":""- <<http:\/\/ulmss-newton.lib.cam.ac.uk\/vwebv\/holdingsInfo?bibId=6205 | The Centre Party in Wilhelmine Germany: the example of Wu\u0308rttemberg, Ph.D. Thesis Cambridge 1976 | _new>>\r\n- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=030370787 | Class, Religion, and Local Politics in Wilhelmine Germany. The Centre Party in W\u00fcrttemberg before 1914, Wiesbaden 1980 (IEGB 9) | _new>>\r\n- <<https:\/\/opac.ub.uni-mainz.de\/DB=3\/PPN?PPN=028078225 | Marpingen. Apparitions of the Virgin Mary in Bismarckian Germany, Oxford 1993 | _new>>\r\n""}}";kein Gutachter;;;;;
